id,description,amount,date,transaction_type,account_id,category_id,transfer_id,is_anomaly
1,Starbucks Coffee,8.5,2025-07-28,expense,1,1,,0
2,KFC Lunch Combo,12.0,2025-07-30,expense,1,1,,0
3,Walmart Groceries,65.3,2025-08-02,expense,2,2,,0
4,Trader Joe's Grocery,54.9,2025-08-05,expense,1,2,,0
5,Amazon Electronics,120.0,2025-08-06,expense,1,3,,0
6,Zara Clothing,89.99,2025-08-08,expense,2,3,,0
7,Uber Ride Downtown,15.2,2025-08-09,expense,1,4,,0
8,Gas Station Fuel,52.6,2025-08-10,expense,2,4,,0
9,Netflix Subscription,15.99,2025-08-11,expense,1,5,,0
10,Movie Night Tickets,24.0,2025-08-12,expense,1,5,,0
11,Monthly Rent Payment,750.0,2025-08-01,expense,1,6,,0
12,Pharmacy Medicine,32.4,2025-08-03,expense,1,7,,0
13,Doctor Consultation,120.0,2025-08-04,expense,2,7,,0
14,Coffee Shop Breakfast,6.8,2025-08-05,expense,1,1,,0
15,Subway Lunch,10.5,2025-08-06,expense,1,1,,0
16,Grocery Store Run,44.2,2025-08-07,expense,1,2,,0
17,Costco Grocery Stock,95.1,2025-08-09,expense,2,2,,0
18,H&M Clothing,78.5,2025-08-10,expense,1,3,,0
19,Foot Locker Shoes,150.0,2025-08-12,expense,2,3,,1
20,Taxi Ride Home,18.3,2025-08-13,expense,1,4,,0
21,Train Ticket,9.5,2025-08-14,expense,2,4,,0
22,Spotify Premium,9.99,2025-08-15,expense,1,5,,0
23,Movie Theatre Popcorn,14.0,2025-08-16,expense,1,5,,0
24,August Rent,750.0,2025-09-01,expense,1,6,,0
25,Vaccine Appointment,50.0,2025-09-02,expense,1,7,,0
26,Dental Checkup,200.0,2025-09-03,expense,2,7,,0
27,McDonald's Dinner,11.25,2025-09-04,expense,1,1,,0
28,Sushi Restaurant,26.4,2025-09-05,expense,2,1,,0
29,Whole Foods Grocery,67.3,2025-09-06,expense,1,2,,0
30,Local Grocery Shop,39.9,2025-09-07,expense,3,2,,0
31,Online Fashion Store,55.0,2025-09-08,expense,1,3,,0
32,Apple Store Accessories,99.0,2025-09-09,expense,2,3,,0
33,Bus Pass Top-up,25.0,2025-09-10,expense,1,4,,0
34,Gas Station,49.2,2025-09-11,expense,2,4,,0
35,YouTube Premium,11.99,2025-09-12,expense,1,5,,0
36,Concert Ticket,85.0,2025-09-13,expense,2,5,,0
37,September Rent,750.0,2025-10-01,expense,1,6,,0
38,Eye Clinic Visit,90.0,2025-10-02,expense,1,7,,0
39,Pharmacy Vitamins,22.5,2025-10-03,expense,2,7,,0
40,Burger King Lunch,8.9,2025-10-04,expense,1,1,,0
41,Cafe Latte,5.75,2025-10-05,expense,2,1,,0
42,Target Grocery Run,35.4,2025-10-06,expense,1,2,,0
43,Farmer's Market,48.1,2025-10-07,expense,3,2,,0
44,Clothing Sale Purchase,45.99,2025-10-08,expense,1,3,,0
45,Designer Shoes,230.0,2025-10-09,expense,2,3,,1
46,Taxi Airport Drop,36.5,2025-10-10,expense,1,4,,0
47,Fuel for Car,53.75,2025-10-11,expense,2,4,,0
48,Netflix Subscription,15.99,2025-10-12,expense,1,5,,0
49,Gaming Subscription,29.99,2025-10-13,expense,1,5,,0
50,Designer Bag Purchase,600.0,2025-10-10,expense,1,3,,1
51,Walmart Grocery,55.0,2025-07-05,expense,1,2,,0
52,Trader Joe's Grocery,40.0,2025-07-07,expense,2,2,,0
53,Uniqlo T-shirt,35.0,2025-07-06,expense,1,3,,0
54,Zara Dress,85.0,2025-07-08,expense,2,3,,0
55,Uber Ride,12.5,2025-07-05,expense,1,4,,0
56,Taxi Downtown,18.0,2025-07-07,expense,2,4,,0
57,Monthly Rent Payment,750.0,2025-07-01,expense,1,6,,0
58,Healthcare Clinic Visit,100.0,2025-07-03,expense,1,7,,0
59,Pharmacy Medicine,30.0,2025-07-05,expense,2,7,,0
60,Dental Checkup,150.0,2025-07-07,expense,3,7,,0
